Color_exterior,Color_interior,Comfort,Entertainment,Extras,Fuel,Gearbox,Initial_registration,Mileage,Owners,Power,Security,Seller,price
Schwarz,Sonstige,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Start/Stop-Automatik,teilb. Rücksitzbank","Bordcomputer,MP3,Radio",Sportpaket,Diesel,Schaltgetriebe,10/2008,243000,,105 kW (143 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Zentralverriegelung",Händler,4300
Schwarz,,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Regensensor,Sitzheizung,Start/Stop-Automatik","Bordcomputer,CD,Radio","Allwetterreifen,Pannenkit,Stahlfelgen",Benzin,Schaltgetriebe,11/2009,199000,,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,3990
Schwarz,Schwarz,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio","Allwetterreifen,Alufelgen,Sportsitze",Diesel,Automatik,03/2017,229850,,110 kW (150 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,10996
Weiß,Stoff,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,USB,Volldigitales Kombiinstrument","Allwetterreifen,Alufelgen",Benzin,Schaltgetriebe,03/2019,114000,2,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,14500
Schwarz,,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Klimaautomatik,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Schiebedach,Sitzheizung,Start/Stop-Automatik,Tempomat","Bordcomputer,MP3,Radio","Alufelgen (17""),Innenspiegel automatisch abblendend,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze",Benzin,Schaltgetriebe,11/2008,140000,,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Nebelscheinwerfer,Seitenairbag,Servolenkung,Zentralverriegelung",Händler,3999
Grau,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederausstattung,Lederlenkrad,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio","Alufelgen,E10-geeignet,Pannenkit,Raucherpaket,Sportpaket,Sportsitze",Benzin,Schaltgetriebe,05/2009,69229,,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Nebelscheinwerfer,Seitenairbag,Servolenkung,Tagfahrlicht,Wegfahrsperre,Zentralverriegelung",Händler,7990
Silber,,"Armlehne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Start/Stop-Automatik","Bordcomputer,CD,Radio,Soundsystem,USB","Alufelgen,Innenspiegel automatisch abblendend",Benzin,Schaltgetriebe,09/2010,210000,,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Seitenairbag,Servolenkung,Zentralverriegelung",Händler,2200
Weiß,Stoff,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Lederlenkrad,Lichtsensor,Regensensor,Schiebedach,Sitzheizung,Start/Stop-Automatik","Bordcomputer,MP3,Radio,USB","Allwetterreifen,Alufelgen,Ambientebeleuchtung,Katalysator,Raucherpaket,Skisack",Benzin,Schaltgetriebe,02/2014,52000,,105 kW (143 PS),"ABS,Alarmanlage,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,8499
Schwarz,Stoff,"2-Zonen-Klimaautomatik,Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Sitzheizung,Start/Stop-Automatik","Bordcomputer,CD,Radio","Alufelgen,Gepäckraumabtrennung,Pannenkit,Sommerreifen",Benzin,Schaltgetriebe,06/2009,199897,,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Xenonscheinwerfer,Zentralverriegelung",Händler,2350
Grau,Schwarz,"Armlehne,Beheizbares Lenkrad,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,teilb. Rücksitzbank","Bluetooth,Bordcomputer,Freisprecheinrichtung,MP3,Radio","Alufelgen (16""),E10-geeignet,Katalysator,Pannenkit",Benzin,Automatik,12/2018,91800,,100 kW (136 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,15400
Braun,,"Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,teilb. Rücksitzbank","Bordcomputer,CD,MP3,Radio",Stahlfelgen,Benzin,Automatik,09/2008,200050,,105 kW (143 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,Notbremsassistent,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Privat,2500
Bronze,,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Start/Stop-Automatik,Tempomat,Umklappbarer Beifahrersitz","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,MP3,Radio,USB","Allwetterreifen,Alufelgen (16""),Sprachsteuerung",Benzin,Automatik,06/2016,126500,,100 kW (136 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung mit Funkfernbedienung",Privat,11900
Grau,Stoff,"Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederlenkrad,Start/Stop-Automatik,Tempomat","Bordcomputer,CD,MP3,Radio","Alufelgen,Sportpaket",Benzin,Schaltgetriebe,11/2010,154000,3,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,Notbremsassistent,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Privat,6600
Silber,Vollleder,"2-Zonen-Klimaautomatik,Armlehne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederausstattung,Lichtsensor,Regensensor,Start/Stop-Automatik","Bordcomputer,CD,MP3,Radio",Alufelgen,Benzin,Schaltgetriebe,06/2011,69000,1,105 kW (143 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Privat,9900
Schwarz,,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Klimaanlage,Klimaautomatik,Lederlenkrad,Sitzheizung,Start/Stop-Automatik,Tempomat",Radio,"Alufelgen,Ambientebeleuchtung,Sommerreifen,Sportpaket,Sportsitze,Winterreifen",Diesel,Schaltgetriebe,05/2012,166543,,105 kW (143 PS),"ABS,Abstandstempomat,Beifahrerairbag,Fahrerairbag,Nebelscheinwerfer,Reifendruckkontrollsystem,Traktionskontrolle,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Privat,6500
Weiß,,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Soundsystem,USB","Alufelgen,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze",Benzin,Schaltgetriebe,01/2013,129000,,125 kW (170 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kurvenlicht,Nebelscheinwerfer,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Xenonscheinwerfer,Zentralverriegelung",Händler,9900
Blau,,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Start/Stop-Automatik,Tempomat","Apple CarPlay,Bluetooth,Bordcomputer,Freisprecheinrichtung,MP3,Radio,USB,W-Lan / Wifi Hotspot","Alufelgen,Touchscreen",Benzin,Automatik,10/2020,36000,,100 kW (136 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Privat,17750
Weiß,Alcantara,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Elektrische Sitze,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,Umklappbarer Beifahrersitz","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Musikstreaming integriert,Radio,Soundsystem,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Ambientebeleuchtung,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Pannenkit,Raucherpaket,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Winterpaket",Benzin,Schaltgetriebe,11/2017,125000,,100 kW (136 PS),"ABS,Alarmanlage,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,13900
Schwarz,Stoff,"Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Regensensor,Sitzheizung,Tempomat,teilb. Rücksitzbank","Bluetooth,CD,Freisprecheinrichtung,MP3,Radio,USB",Stahlfelgen,Benzin,Schaltgetriebe,03/2008,180384,2,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Xenonscheinwerfer,Zentralverriegelung",Privat,3000
Blau,Grau,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Multifunktionslenkrad,Regensensor,Sitzheizung,Tempomat","Bordcomputer,Radio","Allwetterreifen,Alufelgen",Diesel,Schaltgetriebe,02/2007,242000,,90 kW (122 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Seitenairbag,Servolenkung,Zentralverriegelung",Händler,2222
Blau,Alcantara,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederlenkrad,Regensensor,Sitzheizung,Start/Stop-Automatik,teilb. Rücksitzbank","Bordcomputer,CD,MP3,Radio,USB","Alufelgen (17""),Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Raucherpaket,Sportfahrwerk,Sportpaket,Sportsitze,Stahlfelgen,Winterreifen",Benzin,Schaltgetriebe,04/2013,60000,,125 kW (170 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,Nebelscheinwerfer,Notbremsassistent,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Privat,12900
